feature_type	nb_intersections_expectation_shuffled	nb_intersections_variance_shuffled	nb_intersections_negbinom_fit_quality	nb_intersections_log2_fold_change	nb_intersections_true	nb_intersections_pvalue	summed_bp_overlaps_expectation_shuffled	summed_bp_overlaps_variance_shuffled	summed_bp_overlaps_negbinom_fit_quality	summed_bp_overlaps_log2_fold_change	summed_bp_overlaps_true	summed_bp_overlaps_pvalue	combination_order	nb_intersections_empirical_pvalue	summed_bp_overlaps_empirical_pvalue	beta_summed_bp_overlaps_pvalue_ad_hoc_for_deep_sampling_only
gene	3883.73	66066.08	0.86905	0.98667	7696	3.792e-32	2200489.36	23554384039.42	0.85554	1.03802	4518499	4.039e-32	1	0.0	0.0	0.0
transcript	3865.88	61393.27	0.85521	0.99331	7696	1.178e-34	2194130.95	20166228608.68	0.90307	1.04219	4518499	2.8e-37	1	0.0	0.0	0.0
exon	759.41	2686.26	0.85203	1.02651	1547	1.8420000000000002e-34	160168.98	233112470.93	0.86803	0.9544	310371	2.485e-15	1	0.0	0.0	0.0
CDS	366.64	1550.07	0.91536	1.23834	865	3.4779999999999996e-22	50629.01	44768180.65	0.86232	1.28491	123366	9.415e-16	1	0.0	0.0	0.0
start_codon	38.54	39.31	0.86732	2.73734	257	6.948e-115	114.94	348.18	0.86085	2.73841	767	7.0510000000000005e-74	1	0.0	0.0	0.0
stop_codon	36.72	44.47	0.85155	0.77879	63	0.0001583	109.54	401.35	0.83793	0.74825	184	0.0006026	1	0.0	0.0	0.0
five_prime_utr	74.3	120.14	0.8635	2.53625	431	1.396e-82	8543.33	3631945.38	0.85468	2.8223	60426	1.585e-38	1	0.0	0.0	0.0
three_prime_utr	128.9	500.12	0.90935	0.25673	154	0.1283	44429.97	104481705.69	0.85991	0.12615	48490	0.3221	1	0.14	0.33	0.0
Intergenic	8539.18	46783.36	0.87164	-0.82477	4821	6.774e-91	4899822.67	17290377203.35	0.90257	-0.93572	2561528	1.032e-105	1	0.0	0.0	0.0
Introns	3885.16	61622.39	0.87144	1.04167	7998	1.338e-38	2029433.88	18767917492.54	0.87143	1.0521	4208128	3.825e-35	1	0.0	0.0	0.0
Promoters	458.61	1301.38	0.86829	1.6008	1391	2.472e-74	206484.92	302685001.29	0.88186	1.87301	756347	3.966e-86	1	0.0	0.0	3.338e-98
Terminator	468.55	1615.96	0.82928	0.29787	576	0.005369	212782.3	336951812.99	0.85232	0.21281	246602	0.03742	1	0.0	0.045	0.0
